FID,Area (m),area_unit,Roll #,Lot-Blk-Plan,Legal,Lot,Block,Plan,HOUSE #,HOUSEHALF,Street Name,St. Address,LOTBLKPLN,Roll # (Short),subdivision,street_number,route,locality,administrative_area_level_1,administrative_area_level_2,country,postal_code,latitude,longitude
596159,485.77011524,Metres,22165902000,Lot:8 Block:29 Plan:092 1781,"",8,29,092 1781,7215,"",40 Street,7215 40 Street,8-29-092 1781,165902,City of Lloydminster,7215,40 Street,Lloydminster,Alberta,Division No. 10,Canada,,53.2720785,-110.0517687
596160,444.22932690,Metres,22165901000,Lot:7 Block:29 Plan:092 1781,"",7,29,092 1781,7217,"",40 Street,7217 40 Street,7-29-092 1781,165901,City of Lloydminster,7217,40 Street,Lloydminster,Alberta,Division No. 10,Canada,,53.27188839999999,-110.0516427
596161,547.22728170,Metres,22165900000,Lot:6 Block:29 Plan:092 1781,"",6,29,092 1781,7301,"",40 Street,7301 40 Street,6-29-092 1781,165900,City of Lloydminster,7301,40 Street,Lloydminster,Alberta,Division No. 10,Canada,,53.2719314,-110.0523071
596162,570.88355782,Metres,22165899000,Lot:5 Block:29 Plan:092 1781,"",5,29,092 1781,7303,"",40 Street,7303 40 Street,5-29-092 1781,165899,City of Lloydminster,7303,40 Street,Lloydminster,Alberta,,Canada,,53.27173579999999,-110.0519798
596163,476.81307271,Metres,22165898000,Lot:4 Block:29 Plan:092 1781,"",4,29,092 1781,7305,"",40 Street,7305 40 Street,4-29-092 1781,165898,City of Lloydminster,7305,40 Street,Lloydminster,Alberta,Division No. 10,Canada,,53.27193250000001,-110.0523294
596164,576.18412201,Metres,22165897000,Lot:3 Block:29 Plan:092 1781,"",3,29,092 1781,7307,"",40 Street,7307 40 Street,3-29-092 1781,165897,City of Lloydminster,7307,40 Street,Lloydminster,Alberta,Division No. 10,Canada,,53.2718006,-110.05236
596165,503.772562,Metres,22165896000,Lot:2 Block:29 Plan:092 1781,"",2,29,092 1781,7309,"",40 Street,7309 40 Street,2-29-092 1781,165896,City of Lloydminster,7309,40 Street,Lloydminster,Saskatchewan,,Canada,T9V 1B2,53.2743246,-110.0056174
596166,484.32793150,Metres,22165895000,Lot:1 Block:29 Plan:092 1781,"",1,29,092 1781,7311,"",40 Street,7311 40 Street,1-29-092 1781,165895,City of Lloydminster,7311,40 Street,Lloydminster,Saskatchewan,,Canada,T9V 1B2,53.2743246,-110.0056174
596167,536.14538450,Metres,22165891000,Lot:21 Block:30 Plan:092 1781,"",21,30,092 1781,7308,"",40 Street,7308 40 Street,21-30-092 1781,165891,City of Lloydminster,7308,40 Street,Lloydminster,Saskatchewan,Division No. 17,Canada,S9V 0C3,53.27429859999999,-110.0026087
596168,560.872465,Metres,22165890000,Lot:20 Block:30 Plan:092 1781,"",20,30,092 1781,7306,"",40 Street,7306 40 Street,20-30-092 1781,165890,City of Lloydminster,7306,40 Street,Lloydminster,Alberta,Division No. 10,Canada,T9V 2K4,53.2721002,-110.0524984
