roll,legal,address,land_area,land_area_unit,subdivision,zoning,market_land_site_area,market_land_site_area_unit,year_of_assessment,assessment_value,street_number,route,locality,administrative_area_level_1,administrative_area_level_2,country,postal_code,latitude,longitude
33201,0020473 5 16C,10005 - 106 STREET,3,Acres,Town of Morinville,Two Unit Residential,3,Acres,2014,"226,530",10005,106 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A3,53.802347,-113.655603
100,7731R 1 1,10111 - 103 STREET,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"187,800",10111,103 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A7,53.8044664,-113.6507002
1000,"7731R 1 10,11",10106 - 101A STREET,7,Acres,Town of Morinville,Single Detached Residential,7,Acres,2014,"329,980",10106,101A Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A9,53.8043886,-113.6485024
10000,7732R A 21,10006 - 100 STREET,8,Acres,Town of Morinville,Primary Commercial,8,Acres,2014,"324,980",10006,100 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1R5,53.799013,-113.645678
100000,7620979 13 11,122 GRANDIN DRIVE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"229,540",122,Grandin Drive,Morinville,Alberta,Division No. 11,Canada,T8R 1H5,53.7999314,-113.6375899
100100,7620979 13 12,124 GRANDIN DRIVE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"281,620",124,Grandin Drive,Morinville,Alberta,Division No. 11,Canada,T8R 1H5,53.799763,-113.637379
100200,7620979 13 13,126 GRANDIN DRIVE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"278,340",126,Grandin Drive,Morinville,Alberta,Division No. 11,Canada,T8R 1H5,53.79960000000001,-113.637373
100300,7620979 13 14,128 GRANDIN DRIVE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"244,690",128,Grandin Drive,Morinville,Alberta,Division No. 11,Canada,T8R 1H5,53.799457,-113.63737
100400,7620979 13 15,130 GRANDIN DRIVE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"274,050",130,Grandin Drive,Morinville,Alberta,Division No. 11,Canada,T8R 1H5,53.799312,-113.637364
100500,7620979 13 16,202 GRANDIN DRIVE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"273,520",202,Grandin Drive,Morinville,Alberta,Division No. 11,Canada,T8R 1H5,53.7991795,-113.6375989
100600,7620979 13 17,204 GRANDIN DRIVE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"265,190",204,Grandin Drive,Morinville,Alberta,Division No. 11,Canada,T8R 1H5,53.7988952,-113.6375884
100700,7620979 13 18,206 GRANDIN DRIVE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"262,590",206,Grandin Drive,Morinville,Alberta,Division No. 11,Canada,T8R 1H5,53.7988906,-113.6375739
100800,7620979 14 1,732 GRANDIN DRIVE,7,Acres,Town of Morinville,Single Detached Residential,7,Acres,2014,"271,190",732,Grandin Drive,Morinville,Alberta,Division No. 11,Canada,T8R 1K2,53.8026227,-113.6303169
100900,7620979 14 2,730 GRANDIN DRIVE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"233,790",730,Grandin Drive,Morinville,Alberta,Division No. 11,Canada,T8R 1K2,53.80251819999999,-113.6301752
