Address,PID,Property LINC,Roll Number,Tax Year,Assessment Value,Description,Legal Description,Land Use District Code,Land Use Description,subdivision,street_number,route,locality,administrative_area_level_1,administrative_area_level_2,country,postal_code,latitude,longitude
1 100 WESTRIDGE CRES,1054701,11611597,003849,2016,"$188,500.00",CONDOMINIUM FAMILY RESIDENT'L,Unit: 12 Plan: 822 0909,,,Spruce Grove,100,Westridge Crescent,Spruce Grove,Alberta,Division No. 11,Canada,T7X 1R4,53.5436974,-113.9240407
1 14 MCLEOD AVE,1224121,27424712,006542,2016,"$632,800.00",COMMERCIAL,Unit: 1 Plan: 982 1315,,,Spruce Grove,14,McLeod Avenue,Spruce Grove,Alberta,Division No. 11,Canada,T7X 3X3,53.542921,-113.924109
1 20 MCLEOD AVE,1381243,26648097,006300,2016,"$350,700.00",COMMERCIAL,Unit: 1 Plan: 962 0446,,,Spruce Grove,20,McLeod Avenue,Spruce Grove,Alberta,Division No. 11,Canada,T7X 3Y1,53.542864,-113.921739
1 290 SPRUCE RIDGE RD,2225755,32608531,009818,2016,"$219,200.00",CONDOMINIUM FAMILY RESIDENT'L,Unit: 1 Plan: 072 7192,,,Spruce Grove,290,Spruce Ridge Road,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0A5,53.5578331,-113.938809
1 3 GROVE MEADOW DR,1951502,30192900,007475,2016,"$278,200.00",CONDOMINIUM FAMILY RESIDENT'L,Unit: 1 Plan: 032 5639,,,Spruce Grove,3,Grove Meadow Drive,Spruce Grove,Alberta,Division No. 11,Canada,T7X 4L9,53.55003199999999,-113.88363
1 3 SPRUCE RIDGE DR,2215194,32503667,009668,2016,"$318,600.00",CONDOMINIUM FAMILY RESIDENT'L,Unit: 27 Plan: 052 1134,,,Spruce Grove,3,Spruce Ridge Drive,Spruce Grove,Alberta,Division No. 11,Canada,T7X 4N3,53.5540489,-113.9375419
1 HALVERSON CRT,1984185,30513734,007620,2016,"$445,000.00",SINGLE FAMILY RESIDENTIAL,Lot: 46 Block: 6 Plan: 042 3190,,,Spruce Grove,1,Halverson Court,Spruce Grove,Alberta,Division No. 11,Canada,T7X 4P7,53.558713,-113.891406
1 HAMMETT GATE,2726148,36208312,015901,2016,"$265,900.00",SINGLE FAMILY RESIDENTIAL,Lot: 5 Block: 11 Plan: 142 3012,,,Spruce Grove,1,Hammett Gate,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0B1,53.5583484,-113.8912057
1 HARTWICK LOOP,2223103,32574841,009796,2016,"$322,200.00",SINGLE FAMILY RESIDENTIAL,Lot: 121 Block: 3 Plan: 072 6949,,,Spruce Grove,1,Hartwick Loop,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0A5,53.557364,-113.945058
1 HARVARD PL,1381346,29496783,005467,2016,"$388,900.00",SINGLE FAMILY RESIDENTIAL,Lot: 66 Block: 1 Plan: 022 5435,,,Spruce Grove,1,Harvard Place,Spruce Grove,Alberta,Division No. 11,Canada,T7X 4K8,53.5623762,-113.9376275
